City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,yellowknife,62.456,-114.3525,27.29,34,100,5.81,CA,1689979259
83,mahajanga,-15.7167,46.3167,22.01,64,20,2.06,MG,1689979487
84,new norfolk,-42.7826,147.0587,8.29,84,59,1.19,AU,1689979487
85,utrik,11.2278,169.8474,28.35,77,92,6.89,MH,1689979487
86,santo antonio do ica,-3.1022,-67.9397,27.28,64,75,1.04,BR,1689979487
87,lihue,21.9789,-159.3672,28.77,73,100,5.66,US,1689979487
88,petropavlovsk-kamchatsky,53.0452,158.6483,18.33,72,0,2.0,RU,1689979487
89,karratha,-20.7377,116.8463,18.25,34,3,8.94,AU,1689979487
90,moth,25.7167,78.95,32.65,54,73,4.61,IN,1689979488
91,kone,-21.0595,164.8658,20.03,63,78,2.08,NC,1689979488
92,bredasdorp,-34.5322,20.0403,7.14,72,97,1.89,ZA,1689979488
93,itatiaia,-22.4961,-44.5633,15.26,92,19,0.5,BR,1689979488
94,sabha,27.0377,14.4283,31.08,20,0,5.61,LY,1689979488
95,dhuusamarreeb,5.535,46.3861,24.8,72,98,10.26,SO,1689979488
96,papatowai,-46.5619,169.4708,7.32,68,5,6.29,NZ,1689979488
97,yatou,37.15,122.3833,24.67,96,100,8.94,CN,1689979488
98,nuuk,64.1835,-51.7216,6.34,100,100,4.12,GL,1689979489
99,muriti,-1.9833,32.9167,23.67,54,4,7.61,TZ,1689979489
100,crane,31.3974,-102.3501,37.74,14,19,6.83,US,1689979489
101,lagos,6.5833,3.75,27.18,87,86,3.15,NG,1689979262
102,cill airne,52.05,-9.5167,13.5,95,100,2.89,IE,1689979489
103,ancud,-41.8697,-73.8203,9.15,86,100,5.93,CL,1689979489
104,limoeiro do norte,-5.1456,-38.0981,23.78,75,4,2.69,BR,1689979489
105,tolanaro,-25.0319,46.9987,16.04,94,40,0.0,MG,1689979489
106,vikhorevka,56.1201,101.1636,16.77,69,0,0.75,RU,1689979489
107,umm kaddadah,13.6017,26.6876,32.76,36,67,5.37,SD,1689979490
108,invercargill,-46.4,168.35,3.58,70,14,2.72,NZ,1689979490
109,college,64.8569,-147.8028,25.6,48,20,1.54,US,1689979490
110,keene,42.9337,-72.2781,22.46,94,75,2.57,US,1689979490
111,pisco,-13.7,-76.2167,21.03,73,0,6.69,PE,1689979411
112,al jubayl,27.0112,49.6583,34.76,45,100,4.43,SA,1689979490
113,palmer,42.1584,-72.3287,24.52,79,75,4.12,US,1689979240
114,wagar,16.1525,36.2032,28.32,58,100,11.2,SD,1689979490
115,puerto ayora,-0.7393,-90.3518,28.98,80,67,5.33,EC,1689979490
116,sault ste. marie,46.5168,-84.3333,22.31,63,0,6.69,CA,1689979335
117,sidney,-33.8679,151.2073,10.73,63,20,6.69,AU,1689979419
118,ust-nera,64.5667,143.2,15.41,93,100,2.84,RU,1689979491
119,rondonopolis,-16.4708,-54.6356,25.92,33,0,2.23,BR,1689979334
120,el nido,11.1858,119.3956,25.79,92,100,4.84,PH,1689979491
